级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV5,龙泉股份,002671,3.95,6.06,53.5%,3.68,1.4,62%,极端恐慌
LV5,长江投资,600119,4.62,6.88,48.9%,4.28,1.8,62%,极端恐慌
LV5,安彩高科,600207,4.49,6.4,42.6%,4.24,4.5,62%,极端恐慌
LV5,富煌钢构,002743,4.05,5.69,40.4%,3.68,3.0,62%,极端恐慌
LV5,龙头股份,600630,6.79,9.46,39.3%,6.4,3.2,62%,极端恐慌
LV5,博深股份,002282,5.95,8.25,38.6%,5.64,1.1,62%,极端恐慌
LV5,明牌珠宝,002574,4.7,6.37,35.5%,4.35,2.2,62%,极端恐慌
LV5,东北制药,000597,4.79,6.49,35.4%,4.44,2.5,62%,极端恐慌
LV5,中广核技,000881,6.67,8.83,32.4%,6.23,2.4,62%,极端恐慌
LV5,神马股份,600810,6.54,13.14,100.9%,6.15,0.7,62%,极端恐慌
LV4,渝 开 发,000514,3.99,5.17,29.5%,3.71,3.1,58%,冠军金坑
LV4,中材节能,603126,6.1,7.87,28.9%,5.79,2.7,58%,冠军金坑
LV4,保龄宝,002286,8.19,10.42,27.2%,7.74,2.9,58%,冠军金坑
LV4,北京利尔,002392,7.58,9.63,27.1%,7.08,4.0,58%,冠军金坑
LV4,沈阳机床,000410,5.06,6.35,25.4%,4.7,2.7,58%,冠军金坑
LV4,华谊集团,600623,8.5,10.66,25.4%,8.05,4.4,58%,冠军金坑
LV4,西安旅游,000610,5.89,7.38,25.3%,5.49,3.1,58%,冠军金坑
LV3,豫园股份,600655,4.66,5.8,24.5%,4.44,1.0,54%,技术超跌
LV3,卧龙新能,600173,6.3,7.8,23.8%,6.02,2.9,54%,技术超跌
LV3,三和管桩,003037,5.84,7.15,22.5%,5.47,4.2,54%,技术超跌
LV3,鲁北化工,600727,7.67,9.3,21.3%,7.28,3.8,54%,技术超跌
LV3,浙江新能,600032,7.65,9.19,20.1%,7.08,5.6,54%,技术超跌
LV2,志邦家居,603801,6.0,7.2,20.0%,5.6,6.0,51%,深度调整
LV2,万憬能源,002700,6.06,7.23,19.2%,5.77,12.1,51%,深度调整
LV2,龙星科技,002442,5.13,6.06,18.0%,4.77,7.6,51%,深度调整
LV2,天佑德酒,002646,7.21,8.5,17.8%,6.53,6.0,51%,深度调整
LV2,银宝山新,002786,7.84,9.11,16.2%,7.39,4.1,51%,深度调整
LV2,中设股份,002883,8.81,10.17,15.4%,8.38,4.0,51%,深度调整
LV1,穗恒运Ａ,000531,5.92,6.8,14.9%,5.64,5.1,49%,常规回撤
LV1,麦趣尔,002719,6.06,6.88,13.6%,5.59,11.7,49%,常规回撤
LV1,浙能电力,600023,4.96,5.62,13.2%,4.82,23.8,49%,常规回撤
LV1,鲁  泰Ａ,000726,6.0,6.76,12.7%,5.73,2.6,49%,常规回撤
LV1,延华智能,002178,4.63,5.18,11.9%,4.32,11.4,49%,常规回撤
LV1,安道麦A,000553,5.48,6.09,11.1%,5.23,11.6,49%,常规回撤
LV1,华西证券,002926,8.34,9.22,10.5%,8.05,2.5,49%,常规回撤
