代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
601865,福莱特,A-点火反弹,11.18,-4.85%,15.0,21.5,1.74,7.0%,2026-08-10
000791,甘肃能源,A-点火反弹,7.94,1.53%,15.3,16.0,1.17,6.5%,2026-08-10
603111,康尼机电,A-点火反弹,5.87,1.73%,7.7,13.2,1.13,6.5%,2026-08-10
002758,浙农股份,A-点火反弹,7.96,2.31%,7.9,13.4,1.62,5.8%,2026-08-10
002852,道道全,A-点火反弹,7.88,3.68%,10.5,10.3,1.65,5.6%,2026-08-10
002282,博深股份,A-点火反弹,5.95,1.88%,1.1,5.1,1.39,38.6%,2026-08-10
000881,中广核技,A-点火反弹,6.67,3.73%,2.4,8.3,1.81,32.4%,2026-08-10
002100,天康生物,A-点火反弹,7.28,2.82%,6.6,7.4,1.22,3.9%,2026-08-10
000410,沈阳机床,A-点火反弹,5.06,3.69%,2.7,8.7,1.63,25.4%,2026-08-10
003037,三和管桩,A-点火反弹,5.84,2.46%,4.2,7.7,1.17,22.5%,2026-08-10
600032,浙江新能,A-点火反弹,7.65,4.22%,5.6,10.9,1.92,20.1%,2026-08-10
603801,志邦家居,A-点火反弹,6.0,3.99%,6.0,9.9,1.11,20.0%,2026-08-10
002561,徐家汇,A-点火反弹,6.78,2.73%,16.5,20.5,1.34,2.2%,2026-08-10
002700,万憬能源,A-点火反弹,6.06,1.68%,12.1,20.5,1.66,19.2%,2026-08-10
002442,龙星科技,A-点火反弹,5.13,4.06%,7.6,13.1,2.04,18.0%,2026-08-10
002646,天佑德酒,A-点火反弹,7.21,6.03%,6.0,5.9,2.53,17.8%,2026-08-10
000726,鲁  泰Ａ,A-点火反弹,6.0,1.69%,2.6,4.6,1.44,12.7%,2026-08-10
600810,神马股份,A-点火反弹,6.54,2.51%,0.7,2.7,1.54,100.9%,2026-08-10
002884,凌霄泵业,A-点火反弹,16.3,1.18%,6.3,11.0,1.39,1.7%,2026-08-10
000421,南京公用,A-点火反弹,5.47,2.63%,18.9,20.1,1.35,1.6%,2026-08-10
601007,金陵饭店,A-点火反弹,6.72,2.91%,12.6,16.9,1.48,1.5%,2026-08-10
600305,恒顺醋业,A-点火反弹,6.96,2.2%,11.3,12.7,1.58,1.5%,2026-08-10
600642,申能股份,B-极致企稳,8.37,0.36%,21.9,26.6,0.86,8.9%,2026-08-10
000096,广聚能源,B-极致企稳,7.9,1.67%,4.8,9.5,0.89,7.5%,2026-08-10
002238,天威视讯,B-极致企稳,6.17,2.49%,8.8,11.7,0.93,6.6%,2026-08-10
000501,武商集团,B-极致企稳,7.28,2.54%,6.7,11.6,1.04,4.8%,2026-08-10
603126,中材节能,B-极致企稳,6.1,2.35%,2.7,8.0,0.97,28.9%,2026-08-10
000531,穗恒运Ａ,B-极致企稳,5.92,1.2%,5.1,8.6,0.73,14.9%,2026-08-10
002719,麦趣尔,B-极致企稳,6.06,3.41%,11.7,16.5,1.0,13.6%,2026-08-10
000553,安道麦A,B-极致企稳,5.48,0.92%,11.6,14.6,0.9,11.1%,2026-08-10
002926,华西证券,B-极致企稳,8.34,0.97%,2.5,3.8,0.8,10.5%,2026-08-10
